summary_date,campaign_name,impressions,clicks,installs,spend,CTR,CPI
2022-06-28,Super campaign 10,0.0,41214.0,0.0,3392.4150000000004,inf,inf
2022-06-28,Super campaign 16,7677574.0,95692.0,422.0,651.6510000000001,0.01246383297640635,1.544196682464455
2022-06-28,Super campaign 5,0.0,0.0,62.0,0.0,,0.0
2022-06-28,Super campaign 6,1381458.0,12196.0,38.0,19.98932,0.008828353811697496,0.5260347368421052
2022-06-28,Super campaign 9,0.0,0.0,13294.0,0.0,,0.0
2022-06-29,Super campaign 10,0.0,41214.0,0.0,854.0350000000001,inf,inf
2022-06-29,Super campaign 16,7393178.0,92184.0,1538.0,651.87525,0.012468792175705765,0.423846066319896
2022-06-29,Super campaign 5,0.0,0.0,104.0,0.0,,0.0
2022-06-29,Super campaign 6,5242288.0,38372.0,378.0,98.991555,0.007319704678567831,0.2618824206349207
2022-06-29,Super campaign 9,0.0,0.0,610.0,0.0,,0.0
2022-06-30,Super campaign 10,0.0,41214.0,0.0,803.4,inf,inf
2022-06-30,Super campaign 16,7389618.0,74400.0,978.0,651.51905,0.010068179437692178,0.6661748977505112
2022-06-30,Super campaign 5,0.0,0.0,132.0,0.0,,0.0
2022-06-30,Super campaign 6,3832006.0,34160.0,318.0,93.14565,0.008914391052623613,0.2929108490566038
2022-06-30,Super campaign 9,0.0,0.0,20694.0,0.0,,0.0
2022-07-01,Super campaign 10,0.0,41214.0,0.0,952.77,inf,inf
2022-07-01,Super campaign 16,5638408.0,40922.0,198.0,451.8397,0.007257722392561872,2.2820186868686867
2022-07-01,Super campaign 5,0.0,0.0,62.0,0.0,,0.0
2022-07-01,Super campaign 6,5825656.0,14414.0,180.0,42.424785,0.0024742277951186956,0.23569325
2022-07-01,Super campaign 9,0.0,0.0,11534.0,0.0,,0.0
2022-07-02,Super campaign 10,0.0,41214.0,0.0,883.6750000000001,inf,inf
2022-07-02,Super campaign 16,5753744.0,35580.0,182.0,314.88015,0.006183799626816904,1.7301107142857144
2022-07-02,Super campaign 5,0.0,0.0,110.0,0.0,,0.0
2022-07-02,Super campaign 6,3337662.0,28710.0,156.0,44.369065,0.008601829663998332,0.2844170833333333
2022-07-02,Super campaign 9,0.0,0.0,9518.0,0.0,,0.0
